Type,Sound File Name,Text to Paste,Category,Vibe / Keywords,Speaker Details
Custom Sound,i shall unleash my fury.wav,(i shall unleash my fury),Pop Culture & Media,"Always Sunny, Dennis, Golden God, Angry",Male
Custom Sound,i talk a lot.wav,(i talk a lot),Human Vocals,"Chatty, Confession, Apology",
Custom Sound,i wanna kill ya.wav,(i wanna kill ya),Human Vocals,"Aggressive, Threat, Angry",
Custom Sound,i want to go to there.wav,(i want to go to there),Pop Culture & Media,"30 Rock, Liz Lemon, Jealous, Craving, Food",Female
Custom Sound,i was scared half to death.wav,(i was scared half to death),Human Vocals,"Relief, Shocked, Terrified",
Custom Sound,i will find you and i will kill you - taken.wav,(i will find you and i will kill you - taken),Pop Culture & Media,"Taken, Liam Neeson, Threat, Serious, Action","Male, Adult"
Custom Sound,i would like to see the baby.wav,(i would like to see the baby),Pop Culture & Media,"The Mandalorian, Werner Herzog, Demand, Calm","Male, Adult"
Custom Sound,idk something amazing - incredibles.wav,(idk something amazing - incredibles),Pop Culture & Media,"The Incredibles, Dash, Exciting, Superhero","Male, Child"
Custom Sound,im a star.wav,(im a star),Pop Culture & Media,"Confident, Main Character, Dramatic",
Custom Sound,im batman.wav,(im batman),Pop Culture & Media,"Batman, Deep Voice, Superhero, Gritty","Male, Adult"
Custom Sound,im broke.wav,(im broke),Human Vocals,"Poor, Sad, Relatable, No Money",
Custom Sound,im down for whatever.wav,(im down for whatever),Human Vocals,"Casual, Chill, Agreeable, Up for Anything",
Custom Sound,im dying help me.wav,(im dying help me),Human Vocals,"Dramatic, Exaggerated, Pain, Medical",
Custom Sound,im fat.wav,(im fat),Human Vocals,"Blunt, Relatable, Food",
Custom Sound,Im in danger.wav,(Im in danger),Pop Culture & Media,"The Simpsons, Ralph Wiggum, Oblivious, Meme","Male, Child"
Custom Sound,im in my moms car.wav,(im in my moms car),Internet & Memes,"Vine, Get Out, Classic, Broom Broom","Female, Teens"
Custom Sound,im in my prime.wav,(im in my prime),Human Vocals,"Confident, Alpha, Strong, Peak",
Custom Sound,im sat.wav,(im sat),Internet & Memes,"Attentive, Respectful, Simping, TikTok",
Custom Sound,im sorry.wav,(im sorry),Human Vocals,"Apology, Regret, Polite",
Custom Sound,im tired of this gpa.wav,(im tired of this gpa),Pop Culture & Media,"Holes, Tired, Working, Exhausted, Misspoke","Male, Child"
Custom Sound,in da clurb we all fam.wav,(in da clurb we all fam),Pop Culture & Media,"Broad City, Ilana, Party, Clubbing, Friends","Female, Adult"
Custom Sound,insubordinate & churlish.wav,(insubordinate & churlish),Pop Culture & Media,"Key & Peele, Key, A-A-ron, Angry, Teacher","Male, Adult"
Custom Sound,itsa trap.wav,(itsa trap),Pop Culture & Media,"Star Wars, Admiral Ackbar, Warning, Danger","Male, Alien"
Custom Sound,ive contained my rage for as long as possible.wav,(ive contained my rage for as long as possible),Pop Culture & Media,"Always Sunny, Dennis Reynolds, Unhinged, Angry","Male, Adult"
Custom Sound,jaws.wav,(jaws),Music Cues,"Shark, Danger, Suspense, Creeping, Movie",N/A
Custom Sound,just do it.wav,(just do it),Internet & Memes,"Shia LaBeouf, Motivational, Intense, Loud","Male, Adult"
Custom Sound,just doin what my momma learnt me.wav,(just doin what my momma learnt me),Internet & Memes,"Southern, Quirky, Excuse, Simple",
Custom Sound,kiss - long cartoon.wav,(kiss - long cartoon),SFX & UI,"Smooch, Romance, Gross, Exaggerated",N/A
Custom Sound,know what they call you.wav,(know what they call you),Pop Culture & Media,"Accusation, Drama, Calling Out",
Custom Sound,ladies & gentemen HER.wav,(ladies & gentemen HER),Internet & Memes,"Hype, Introduction, Applause, TikTok","Male, Adult"
Custom Sound,laugh - beavis butthead.wav,(laugh - beavis butthead),Pop Culture & Media,"Beavis and Butt-Head, Chuckle, Dumb, Retro","Male, Teens"
Custom Sound,laugh - duck.wav,(laugh - duck),SFX & UI,"Animal, Quack, Wheezing, Goofy",N/A
Custom Sound,laugh - giggle female.wav,(laugh - giggle female),Human Vocals,"Giggle, Cute, Quick",Female
Custom Sound,laugh - hysterical.wav,(laugh - hysterical),Human Vocals,"Wild, Crazy, Unhinged, Crying",
Custom Sound,laugh - jeff goldblum.wav,(laugh - jeff goldblum),Pop Culture & Media,"Jurassic Park, Quirky, Awkward, Classic","Male, Adult"
Custom Sound,laugh - meme.wav,(laugh - meme),Internet & Memes,"Viral, Track, Funny, Relatable",
Custom Sound,laugh - oh no.wav,(laugh - oh no),Internet & Memes,"TikTok, Wheezing, High Pitch, Annoying",
Custom Sound,laugh-goofy1.wav,(laugh-goofy1),Pop Culture & Media,"Disney, Goofy, Hyuck, Silly, Cartoon",Male
Custom Sound,laugh-nelson.wav,(laugh-nelson),Pop Culture & Media,"The Simpsons, Nelson, Ha-Ha, Mocking, Fail","Male, Child"
Custom Sound,leroy jenkins.wav,(leroy jenkins),Internet & Memes,"World of Warcraft, Gaming, Chaos, Loud, Charge","Male, Adult"
Custom Sound,let me tell you something.wav,(let me tell you something),Pop Culture & Media,"Aggressive, Intense, Rant, Listen Up",Male
Custom Sound,lets-a-go - mario.wav,(lets-a-go - mario),Pop Culture & Media,"Nintendo, Mario, Gaming, Hype, Start",Male
Custom Sound,LIAR.wav,(LIAR),Human Vocals,"Shouting, Accusation, Angry, Drama",
Custom Sound,lick.wav,(lick),SFX & UI,"Gross, Slurp, Tongue",N/A
Custom Sound,light saber.wav,(light saber),SFX & UI,"Star Wars, Laser, Whoosh, Weapon",N/A
Custom Sound,like the crashing of a thousand waves.wav,(like the crashing of a thousand waves),Pop Culture & Media,"Always Sunny, Dennis, Untethered, Golden God","Male, Adult"
Custom Sound,Look at all those Chickens.wav,(Look at all those Chickens),Internet & Memes,"Vine, Geese, Kid, Cute, Wrong","Female, Child"
Custom Sound,look at my ass!.wav,(look at my ass!),Human Vocals,"Shouting, Sassy, Attention, Out of Context",
Custom Sound,look at this gentleman.wav,(look at this gentleman),Internet & Memes,"Polite, Sophisticated, Classy, Cat/Dog Meme","Male, Adult"
Custom Sound,look im gay.wav,(look im gay),Human Vocals,"Out of Context, Confession, Blunt",
Custom Sound,loser - ace ventura.wav,(loser - ace ventura),Pop Culture & Media,"Ace Ventura, Jim Carrey, Insult, Mocking, Drama","Male, Adult"
Custom Sound,mario death.wav,(mario death),Pop Culture & Media,"Nintendo, Mario, Gaming, Fail, Game Over",N/A
Custom Sound,mario jump.wav,(mario jump),Pop Culture & Media,"Nintendo, Mario, Gaming, Boing, Action",N/A
Custom Sound,mario kart start.wav,(mario kart start),Pop Culture & Media,"Nintendo, Racing, Countdown, Countdown, Hype",N/A
Custom Sound,meep meep.wav,(meep meep),Pop Culture & Media,"Looney Tunes, Road Runner, Fast, Leaving",N/A
Custom Sound,meow shee.wav,(meow shee),Internet & Memes,"Cat, Weird Vocal, Accent, Quirky",
Custom Sound,mic-feedback.wav,(mic-feedback),SFX & UI,"Loud, Screech, High Pitch, Interruption",N/A
Custom Sound,Mine mine mine.wav,(Mine mine mine),Pop Culture & Media,"Finding Nemo, Seagulls, Greedy, Selfish","Crowd, Animals"
Custom Sound,mm-hm.wav,(mm-hm),Human Vocals,"Agreement, Sassy, Listening",
Custom Sound,mmhmm alright.wav,(mmhmm alright),Human Vocals,"Sarcastic, Skeptical, Suspicious",
Custom Sound,mmm mmm bitch.wav,(mmm mmm bitch),Internet & Memes,"Sassy, Attitude, Insult, Drama",
Custom Sound,mmm-girl.wav,(mmm-girl),Human Vocals,"Sassy, Impressed, Attitude",Female
Custom Sound,mmm-homer.wav,(mmm-homer),Pop Culture & Media,"The Simpsons, Homer, Drooling, Food, Craving","Male, Adult"
Custom Sound,mockingbird.wav,(mockingbird),Pop Culture & Media,"Dumb and Dumber, Singing, Annoying, Road Trip",Duo
Custom Sound,mother i crave violence.wav,(mother i crave violence),Internet & Memes,"Cat Meme, Chaos, Unhinged, Dark Comedy",Childish
Custom Sound,motherfucker where is it.wav,(motherfucker where is it),Human Vocals,"Angry, Demanding, Swear, Lost",
Custom Sound,music - always sunny.wav,(music - always sunny),Music Cues,"Always Sunny, Theme Song, Whimsical, Irony",N/A
Custom Sound,music - am i better than everyone.wav,(music - am i better than everyone),Music Cues,"The White Lotus, Snobby, Main Character, Dramatic",N/A
Custom Sound,music - bad jurassic park.wav,(music - bad jurassic park),Music Cues,"Flute, Melodica, Fail, Shitty Flute, Meme",N/A
Custom Sound,music - bad to the bone riff.wav,(music - bad to the bone riff),Music Cues,"Guitar, Alpha, Tough, Badass, Sarcastic",N/A
Custom Sound,music - bitch u guessed it.wav,(music - bitch u guessed it),Music Cues,"OG Maco, Rap, Drop, Hype, Shocked",N/A
Custom Sound,music - careless whisper.wav,(music - careless whisper),Music Cues,"George Michael, Saxophone, Sexy, Flirty, Romance",N/A
Custom Sound,music - curb outro.wav,(music - curb outro),Music Cues,"Curb Your Enthusiasm, Fail, Awkward, Credits",N/A
Custom Sound,music - dont be sus.wav,(music - dont be sus),Music Cues,"Among Us Vibe, Suspicious, Sketchy, Mystery",N/A
Custom Sound,music - elevator.wav,(music - elevator),Music Cues,"Muzak, Waiting, Boring, Awkward, Hold",N/A
Custom Sound,music - funkytown - bad.wav,(music - funkytown - bad),Music Cues,"Low Quality, Shitty Cover, Meme, Goofy",N/A
Custom Sound,music - gay cats.wav,(music - gay cats),Internet & Memes,"Chipi Chipi Chapa Chapa, TikTok, Cute, Loop",N/A
Custom Sound,music - GTA.wav,(music - GTA),Music Cues,"Grand Theft Auto, Mission Passed, Success, Win",N/A
Custom Sound,music - helen keller.wav,(music - helen keller),Music Cues,"Dark Comedy, Out of Context, Silence",N/A
Custom Sound,music - Hello Adele.wav,(music - Hello Adele),Music Cues,"Adele, Sad, Emotional, Dramatic, Call",N/A
Custom Sound,music - his name is john cena.wav,(music - his name is john cena),Music Cues,"John Cena, Hype, Loud, Surprise Entrance",N/A
Custom Sound,music - i dont understand.wav,(music - i dont understand),Music Cues,"Confused, Eerie, Mysterious",N/A
Custom Sound,music - i feel good .wav,(music - i feel good ),Music Cues,"James Brown, Happy, Energetic, Funky",N/A
Custom Sound,music - imperial march.wav,(music - imperial march),Music Cues,"Star Wars, Darth Vader, Evil, Villain, Threat",N/A
Custom Sound,music - jeopardy.wav,(music - jeopardy),Music Cues,"Thinking, Clock, Timer, Waiting, Quiz",N/A
Custom Sound,music - jet holiday.wav,(music - jet holiday),Music Cues,"Retro, Travel, Upbeat, Cheerful",N/A
Custom Sound,music - john cena.wav,(music - john cena),Music Cues,"WWE, Hype, Trumpets, Surprise, Loud",N/A
Custom Sound,music - let-her-go.wav,(music - let-her-go),Music Cues,"Passenger, Sad, Emotional, Heartbreak",N/A
Custom Sound,music - mandalorian.wav,(music - mandalorian),Music Cues,"Star Wars, Epic, Badass, Sci-Fi",N/A
Custom Sound,music - MJ sounds.wav,(music - MJ sounds),Music Cues,"Michael Jackson, Beat, Pop, Dance",N/A
Custom Sound,music - more passion.wav,(music - more passion),Internet & Memes,"TikTok, Energy, Dance, Footwork, French","Male, Adult"
Custom Sound,music - nirvana laugh.wav,(music - nirvana laugh),Music Cues,"Grunge, Rock, Sarcastic, Grungy",N/A
Custom Sound,music - no -0 cent .wav,(music - no -0 cent ),Music Cues,"50 Cent, In Da Club, Rap, Birthday, Vibe",N/A
Custom Sound,music - nobodys gonna know.wav,(music - nobodys gonna know),Internet & Memes,"TikTok Audio, Sneaky, Secret, Cheating",Duo
Custom Sound,music - oh no.wav,(music - oh no),Internet & Memes,"TikTok, High Pitch, Capone, Annoying, Fail",N/A
Custom Sound,music - Oh Yeah.wav,(music - Oh Yeah),Music Cues,"Ferris Bueller, Yello, Sexy, Deep Voice, Cool",N/A
Custom Sound,music - please stand by.wav,(music - please stand by),SFX & UI,"TV Static, Technical Difficulties, Intermission",N/A
Custom Sound,music - porno.wav,(music - porno),Music Cues,"Bow Chicka Wow Wow, 70s Funk, Sexy, Sus",N/A
Custom Sound,music - rap god.wav,(music - rap god),Music Cues,"Eminem, Fast, Rapid, Skill, Intimidating",N/A
Custom Sound,music - rickroll.wav,(music - rickroll),Music Cues,"Rick Astley, Prank, Gotcha, Bait and Switch",N/A
Custom Sound,music - run.wav,(music - run),Music Cues,"AWOLNATION, Drop, Danger, Escape, Fast",N/A
Custom Sound,music - sad meow.wav,(music - sad meow),Internet & Memes,"Cat, Crying, Emotional, Depressed",N/A
Custom Sound,music - sad violin.wav,(music - sad violin),Music Cues,"Sarcastic, Crying, Melodramatic, Fail",N/A
Custom Sound,music - seinfeld.wav,(music - seinfeld),Music Cues,"Seinfeld, Bass, Transition, Comedy, Retro",N/A
Custom Sound,music - smelly cat.wav,(music - smelly cat),Pop Culture & Media,"Friends, Phoebe Buffay, Quirky, Acoustic","Female, Adult"
Custom Sound,music - snoop dogg.wav,(music - snoop dogg),Music Cues,"Next Episode, Smoke Weed, Hip Hop, Chill",N/A
Custom Sound,music - spiderman.wav,(music - spiderman),Music Cues,"Pizza Theme, Tobey Maguire, Upbeat, Chaos",N/A
Custom Sound,music - star wars cantina.wav,(music - star wars cantina),Music Cues,"Star Wars, Aliens, Upbeat, Quirky, Tavern",N/A
Custom Sound,music - surprise surprise.wav,(music - surprise surprise),Music Cues,"Reveal, Plot Twist, Sarcastic",N/A
Custom Sound,music - talk dirty to me.wav,(music - talk dirty to me),Music Cues,"Jason Derulo, Trumpets, Suggestive, Sexy",N/A
Custom Sound,music - that was rude.wav,(music - that was rude),Music Cues,"Dramatic, Judgmental, Offended",N/A
Custom Sound,music - thats all folks.wav,(music - thats all folks),Pop Culture & Media,"Looney Tunes, Porky Pig, Ending, Credits, Outro",Male
Custom Sound,music - they ask you how you are.wav,(music - they ask you how you are),Internet & Memes,"Katy Perry, Inner Sadness, Fake Smile, Meme","Female, Adult"
Custom Sound,music - what do you mean.wav,(music - what do you mean),Music Cues,"Justin Bieber, Confused, Question",N/A
Custom Sound,music - what does it mean.wav,(music - what does it mean),Internet & Memes,"Double Rainbow, Emotional, Overwhelmed","Male, Adult"
Custom Sound,music - what the helly.wav,(music - what the helly),Music Cues,"Shocked, Confused, Upbeat",N/A
Custom Sound,music - whats up with that.wav,(music - whats up with that),Pop Culture & Media,"SNL, Kenan Thompson, Energetic, Funky, Interruption","Male, Adult"
Custom Sound,music - whisper song.wav,(music - whisper song),Music Cues,"Ying Yang Twins, Sexy, Sus, Quiet, Suggestive",N/A
Custom Sound,music - why cant we be friends.wav,(music - why cant we be friends),Music Cues,"Peace, Sarcastic, Conflict, Friends",N/A
Custom Sound,music - x files.wav,(music - x files),Music Cues,"Illuminati, Conspiracy, Aliens, Spooky, Mystery",N/A
Custom Sound,music-mortal kombat!.wav,(music-mortal kombat!),Pop Culture & Media,"Techno, Hype, Electronic, Fighting, Energy",N/A
Custom Sound,my d in a box.wav,(my d in a box),Pop Culture & Media,"SNL, Lonely Island, Justin Timberlake, Gift, Adult","Male, Duo"
Custom Sound,my life be like.wav,(my life be like),Music Cues,"Grits, Ooh Ahh, Reflective, Nostalgic",N/A
Custom Sound,my man.wav,(my man),Pop Culture & Media,"Rick and Morty, Mailman, Approval, Enthusiastic","Male, Adult"
Custom Sound,my own private domicile.wav,(my own private domicile),Pop Culture & Media,"Breaking Bad, Jesse Pinkman, Defensive, Bitch","Male, Adult"
Custom Sound,my precious.wav,(my precious),Pop Culture & Media,"Lord of the Rings, Gollum, Creepy, Greedy","Male, Monster"
Custom Sound,news flash!.wav,(news flash!),Human Vocals,"Sarcastic, Announcement, Calling Out",
Custom Sound,nice.wav,(nice),Internet & Memes,"South Park, 69, Click, Approval",Male
Custom Sound,no - female.wav,(no - female),Human Vocals,"Rejection, Refusal, Blunt",Female
Custom Sound,No - Michael.wav,(No - Michael),Pop Culture & Media,"The Office, Michael Scott, Panic, Desperate, God No","Male, Adult"
Custom Sound,no deal no dice.wav,(no deal no dice),Human Vocals,"Refusal, Rejection, Final",
Custom Sound,no ew - female.wav,(no ew - female),Human Vocals,"Gross, Disgusted, Reject",Female
Custom Sound,No-annoying.wav,(No-annoying),Human Vocals,"Whining, Frustrated, Stop It",
Custom Sound,nom nom nom.wav,(nom nom nom),SFX & UI,"Eating, Food, Crunchy, Cartoon",N/A
Custom Sound,none of its true.wav,(none of its true),Internet & Memes,"Denial, Gossip, Drama, Deflection",
Custom Sound,Noooo - darth vader.wav,(Noooo - darth vader),Pop Culture & Media,"Star Wars, Darth Vader, Dramatic, Anguish, Fail","Male, Cyborg"
Custom Sound,not round here partner.wav,(not round here partner),Pop Culture & Media,"Western, Cowboy, Threat, Territorial",Male
Custom Sound,nword you gay.wav,(nword you gay),Internet & Memes,"Boondocks Vibe, Out of Context, Blunt, Aggressive",Male
Custom Sound,obviously.wav,(obviously),Human Vocals,"Sarcastic, Duh, Smartass",
Custom Sound,Oh hell naw - sing.wav,(Oh hell naw - sing),Internet & Memes,"Musical, Denial, No Way, Sassy",
Custom Sound,oh hell naw man wtf.wav,(oh hell naw man wtf),Internet & Memes,"Shocked, Disgusted, Trash, Viral",Male
Custom Sound,oh long johnson.wav,(oh long johnson),Internet & Memes,"Talking Cat, Viral, Retro, Creepy, Nonsense",Animal
Custom Sound,oh my god i dont care.wav,(oh my god i dont care),Pop Culture & Media,"Dismissive, Bored, Rude, Sassy",
Custom Sound,oh my god no way.wav,(oh my god no way),Human Vocals,"Shocked, Excited, Disbelief",
Custom Sound,oh my god.wav,(oh my god),Human Vocals,"Exclamatory, Surprised, Standard",
Custom Sound,oh no our table.wav,(oh no our table),Internet & Memes,"Broken, Glass, Kid, Fail, Classic","Male, Child"
Custom Sound,oh pwincess.wav,(oh pwincess),Human Vocals,"Mocking, Baby Talk, Sarcastic",
Custom Sound,oh shit - not good.wav,(oh shit - not good),Human Vocals,"Regret, Danger, Mistake, Panic",
Custom Sound,oh shit motherfker.wav,(oh shit motherfker),Human Vocals,"Surprise, Angry, Hype, Swear",Male
Custom Sound,oh-yes-male.wav,(oh-yes-male),Human Vocals,"Approval, Enthusiastic, Deep Voice",Male
Custom Sound,ok - liljohn.wav,(ok - liljohn),Pop Culture & Media,"Lil Jon, Rap, Hype, Loud","Male, Adult"
Custom Sound,ok bye - frozen.wav,(ok bye - frozen),Pop Culture & Media,"Frozen, Anna, Leaving, Dismissive, Quick","Female, Child"
Custom Sound,ok i like it picasso.wav,(ok i like it picasso),Internet & Memes,"TikTok, Abstract, Art, Approval, Sarcastic","Male, Adult"
Custom Sound,OK lets go.wav,(OK lets go),Human Vocals,"Hype, Ready, Start, Energetic",
Custom Sound,Ok perfect.wav,(Ok perfect),Human Vocals,"Agreement, Satisfied, Polite",
Custom Sound,okay-meme.wav,(okay-meme),Internet & Memes,"Simple, Agreeable, Relatable",
Custom Sound,omg becky.wav,(omg becky),Pop Culture & Media,"Sir Mix-A-Lot, Gossip, Judgmental, Valley Girl","Female, Adult"
Custom Sound,omg my shayla.wav,(omg my shayla),Internet & Memes,"Viral, Dramatic, Calling Out, Sassy",Female
Custom Sound,omg what is that.wav,(omg what is that),Internet & Memes,"Cardi B, Gross, Shocked, Confused, Viral","Female, Adult"
Custom Sound,only thing - toilet seat.wav,(only thing - toilet seat),Pop Culture & Media,"Out of Context, Bathroom, Weird",
Custom Sound,ooh pieceofcandy.wav,(ooh pieceofcandy),Pop Culture & Media,"Family Guy, James Woods, Trapped, Lured","Male, Adult"
Custom Sound,ooh this is nice.wav,(ooh this is nice),Human Vocals,"Satisfied, Comfortable, Approval",
Custom Sound,oops.wav,(oops),Human Vocals,"Mistake, Clumsy, Accident",
Custom Sound,open the noor.wav,(open the noor),Internet & Memes,"Viral, Accent, Demanding, Knocking",Male
Custom Sound,panic attack.wav,(panic attack),Human Vocals,"Breathing, Anxious, Stressed, Overwhelmed",
Custom Sound,parkour.wav,(parkour),Pop Culture & Media,"The Office, Michael Scott, Gymnast, Jumping","Male, Adult"
Custom Sound,pee on you drip.wav,(pee on you drip),Internet & Memes,"R. Kelly Vibe, Out of Context, Gross",Male
Custom Sound,pink wine makes me slutty.wav,(pink wine makes me slutty),Pop Culture & Media,"Real Housewives, Drunk, Confession, Sassy, Wine","Female, Adult"
Custom Sound,Police siren.wav,(Police siren),SFX & UI,"Siren, Emergency, Cop, Caught, Danger",N/A
Custom Sound,price is wrong bitch.wav,(price is wrong bitch),Pop Culture & Media,"Happy Gilmore, Adam Sandler, Bob Barker, Fight","Male, Adult"
Custom Sound,price is wrong music.wav,(price is wrong music),Music Cues,"Price Is Right, Fail, Sad Trombone, Loser",N/A
Custom Sound,pussy on - he put.wav,(pussy on - he put),Internet & Memes,"Sassy, Over the Top, Slang, Hype",
Custom Sound,pussy on - i want to.wav,(pussy on - i want to),Internet & Memes,"Desire, Bold, Slang",
Custom Sound,pussy on - man i put.wav,(pussy on - man i put),Internet & Memes,"Confident, Brag, Slang",
Custom Sound,pussy on - she put.wav,(pussy on - she put),Internet & Memes,"Sassy, Compliment, Slang, Hype",
Custom Sound,pussy.wav,(pussy),Human Vocals,"Insult, Coward, Swear",
Custom Sound,rawr.wav,(rawr),Internet & Memes,"Dinosaur, Cute, Emo, Cringe",Teens
Custom Sound,Reveal sound.wav,(Reveal sound),SFX & UI,"Sting, Surprise, Magic, Unveil",N/A
Custom Sound,rizz sound.wav,(rizz sound),Internet & Memes,"TikTok, Romance, Flirty, Smug, Whistle",N/A
Custom Sound,SAIL.wav,(SAIL),Internet & Memes,"AWOLNATION, Epic Fail, Drop, Heavy, Jump","Male, Adult"
Custom Sound,say my name.wav,(say my name),Pop Culture & Media,"Breaking Bad, Walter White, Alpha, Serious","Male, Adult"
Custom Sound,say what.wav,(say what),Human Vocals,"Confused, Shocked, Question",
Custom Sound,scream - goat.wav,(scream - goat),SFX & UI,"Animal, Human-like, Loud, Panic",N/A
Custom Sound,scream - homer.wav,(scream - homer),Pop Culture & Media,"The Simpsons, Homer, High Pitch, Panic, Girlie","Male, Adult"
Custom Sound,scream - sunny.wav,(scream - sunny),Pop Culture & Media,"Always Sunny, Charlie/Dennis, High Pitch, Terror","Male, Adult"
Custom Sound,scream - toddler.wav,(scream - toddler),Human Vocals,"Tantrum, Child, Earrape, High Pitch, Annoying",Child
Custom Sound,scream - tom.wav,(scream - tom),Pop Culture & Media,"Tom and Jerry, Cartoon, Pain, High Pitch, Yell","Male, Cat"
Custom Sound,scream - unhinged-female.wav,(scream - unhinged-female),Human Vocals,"Meltdown, Psycho, Loud, Karen Vibe",Female
Custom Sound,Scream - unhinged-male.wav,(Scream - unhinged-male),Human Vocals,"Rage, Meltdown, Psycho, Loud, Fury",Male
Custom Sound,screw you guys im going home.wav,(screw you guys im going home),Pop Culture & Media,"South Park, Cartman, Leaving, Whiny, Mad","Male, Child"
Custom Sound,serenity now.wav,(serenity now),Pop Culture & Media,"Seinfeld, Frank Costanza, Stress, Angry, Calm","Male, Elderly"
Custom Sound,shawty what that thing do.wav,(shawty what that thing do),Internet & Memes,"Rap, Flirty, Slang, Suggestive",Male
Custom Sound,sheesh.wav,(sheesh),Internet & Memes,"Trendy, High Pitch, Impressed, Flex",Group
Custom Sound,shenanigans!.wav,(shenanigans!),Pop Culture & Media,"South Park, Calling Out, Prank, Skeptical",Male
Custom Sound,shes an icon.wav,(shes an icon),Internet & Memes,"TikTok, Compliment, Stan, Sassy, Queen",Female
Custom Sound,shut the f up - female.wav,(shut the f up - female),Human Vocals,"Aggressive, Rude, Annoyed, Shouting",Female
Custom Sound,shut your fn mouth.wav,(shut your fn mouth),Human Vocals,"Angry, Swear, Aggressive, Silence",
Custom Sound,silence i kill you.wav,(silence i kill you),Pop Culture & Media,"Jeff Dunham, Achmed, Puppet, Threat, Sarcastic","Male, Skeleton"
Custom Sound,slay queen.wav,(slay queen),Internet & Memes,"Sassy, Compliment, Hype, Drag Vibe",
Custom Sound,slay your enemies.wav,(slay your enemies),Pop Culture & Media,"Fantasy, Aggressive, Battle, Threat",
Custom Sound,smoke-detector-beep.wav,(smoke-detector-beep),SFX & UI,"Chirp, Annoying, Battery, House, Interruption",N/A
Custom Sound,someone cooked here.wav,(someone cooked here),Pop Culture & Media,"Breaking Bad, Walter White, Impressed, Respect","Male, Adult"
Custom Sound,sorry bro - whisper.wav,(sorry bro - whisper),Human Vocals,"Secret, Quiet, Apology, Awkward",Male
Custom Sound,sorry-sorry-sorry.wav,(sorry-sorry-sorry),Human Vocals,"Apologetic, Fast, Nervous, Clumsy",
Custom Sound,sound_list.txt,(sound_list),SFX & UI,"System, Blank, Technical",N/A
Custom Sound,sounds a little gay.wav,(sounds a little gay),Pop Culture & Media,"South Park, Judgmental, Out of Context","Male, Child"
Custom Sound,sparkles.wav,(sparkles),SFX & UI,"Magic, Chime, Bright, Shimmer, Ding",N/A
Custom Sound,spectacular gimme4.wav,(spectacular gimme4),Internet & Memes,"TikTok, Trend, Over the Top, Hype",
Custom Sound,squeaky toy.wav,(squeaky toy),SFX & UI,"Dog, Pet, High Pitch, Funny, Cute",N/A
Custom Sound,stfu asshole - kid.wav,(stfu asshole - kid),Human Vocals,"Aggressive, Rude, Child Swearing, Toxic",Child
Custom Sound,stop doing this.wav,(stop doing this),Human Vocals,"Pleading, Annoyed, Frustrated, Stop",
Custom Sound,Suck My Dick N.wav,(Suck My Dick N),Human Vocals,"Aggressive, Insult, Swear, Toxic",Male
Custom Sound,suck my dick.wav,(suck my dick),Human Vocals,"Aggressive, Angry, Insult, Swear",
Custom Sound,sudden suspense.wav,(sudden suspense),Music Cues,"Dun Dun Dun, Shocked, Plot Twist, Reveal",N/A
Custom Sound,surprise shawty.wav,(surprise shawty),Internet & Memes,"Viral, Surprise Entrance, Hype, Urban",Male
Custom Sound,surprise-mf.wav,(surprise-mf),Pop Culture & Media,"Dexter, Doakes, Gotcha, Caught, Aggressive","Male, Adult"
Custom Sound,ta da.wav,(ta da),SFX & UI,"Fanfare, Achievement, Finished, Reveal",N/A
Custom Sound,taco bell.wav,(taco bell),SFX & UI,"Bong, Bell, Food, Meme, Impact",N/A
Custom Sound,take a nap.wav,(take a nap),Human Vocals,"Tired, Dismissive, Calm Down",
Custom Sound,tell me it was good.wav,(tell me it was good),Human Vocals,"Suggestive, Seeking Approval, Out of Context",
Custom Sound,thank you come again.wav,(thank you come again),Pop Culture & Media,"The Simpsons, Apu, Retail, Polite, Accent","Male, Adult"
Custom Sound,that bitch is dead.wav,(that bitch is dead),Pop Culture & Media,"Drama, Aggressive, Threat, Cold",
Custom Sound,that guys gonna blow himself up.wav,(that guys gonna blow himself up),Pop Culture & Media,"Warning, Danger, Out of Context",
Custom Sound,that i absolutely love.wav,(that i absolutely love),Human Vocals,"Passionate, Approval, Obsessed",
Custom Sound,that was fn scary.wav,(that was fn scary),Human Vocals,"Relief, Shocked, Terrified, Swear",
Custom Sound,that was totally wicked - incredibles kid.wav,(that was totally wicked - incredibles kid),Pop Culture & Media,"The Incredibles, Boy on Tricycle, Impressed, Hype","Male, Child"
Custom Sound,thats my shiiii.wav,(thats my shiiii),Internet & Memes,"Hype, Favorite, Love It, Jamming",
Custom Sound,thats suspicious.wav,(thats suspicious),Internet & Memes,"Cardi B, Sketchy, Question, Drama, TikTok","Female, Adult"
Custom Sound,thats what she said.wav,(thats what she said),Pop Culture & Media,"The Office, Michael Scott, Joke, Sus, Innuendo","Male, Adult"
Custom Sound,the light inside me is dying.wav,(the light inside me is dying),Internet & Memes,"Depressed, Sad, Relatable, Exhausted",
Custom Sound,theyre very aroused.wav,(theyre very aroused),Pop Culture & Media,"Out of Context, Suggestive, Hilarious",
Custom Sound,troll_toll.wav,(troll_toll),Pop Culture & Media,"Always Sunny, Danny DeVito, Frank, Singing, Musical","Male, Adult"
Custom Sound,um actually.wav,(um actually),Internet & Memes,"Nerdy, Smartass, Correcting, Pedantic",
